,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
715,6,99,TUL,38.714,599,B,19,N,2930,7.28,56.09,4.08,7,THU,SEP,N,3154,8.42,52.18,4.4,15,FRI,MAY
716,6,99,TUL,51.806,669,B,19,N,2506,6.76,55.88,3.78,7,TUE,SEP,N,2951,8.65,51.41,4.45,15,FRI,JUN
717,6,99,TUL,53.822,655,B,19,N,2465,6.86,52.55,3.6,7,TUE,MAY,N,3088,8.94,50.49,4.51,16,FRI,MAY
718,6,99,FRE,6.9,44,A,19,N,4072,7.15,59.82,4.27,7,WED,SEP,S,4228,8.61,51.56,4.44,16,FRI,SEP
719,6,99,FRE,11.098,605,A,19,N,4946,8.28,54.9,4.54,7,TUE,FEB,S,4826,8.63,51.35,4.43,16,TUE,NOV
720,6,99,FRE,18.544,854,A,19,N,5062,8.15,50.6,4.12,7,THU,MAR,N,5595,8.38,54.36,4.56,16,TUE,APR
721,6,99,FRE,21.857,981,B,19,S,5132,7.63,60.48,4.61,7,FRI,MAR,N,5650,8.23,61.69,5.08,16,WED,SEP
722,6,99,FRE,21.857,982,A,19,S,6239,7.22,57.47,4.15,7,FRI,MAR,N,6025,7.6,52.69,4.01,16,FRI,MAR
723,6,99,FRE,28.102,636,A,19,S,3127,7.34,52.63,3.86,7,TUE,MAY,S,3324,7.62,53.92,4.11,14,FRI,AUG
724,6,99,FRE,30.988,633,A,19,N,3223,7.29,52.86,3.85,7,THU,APR,S,3607,7.91,54.55,4.31,15,FRI,MAR
725,6,99,MAD,0.989,679,A,18,N,2878,7.27,53.79,3.91,7,TUE,APR,S,2997,7.87,51.74,4.07,15,FRI,DEC
726,6,99,MAD,7.463,423,B,19,N,3186,7.4,52.84,3.91,7,WED,MAY,S,3317,7.57,53.82,4.07,15,WED,MAY
727,6,99,MAD,10.268,618,A,19,S,3216,7.17,53.3,3.82,7,FRI,MAR,S,3344,7.42,53.51,3.97,14,FRI,MAR
728,6,99,MAD,10.268,614,B,19,S,2966,6.99,54.55,3.81,7,TUE,FEB,S,3171,7.09,57.51,4.08,15,TUE,NOV
729,6,99,MAD,22.727,692,B,19,S,2994,7.62,51.74,3.94,11,SAT,AUG,S,3296,7.61,57.07,4.34,15,FRI,NOV
730,6,99,MAD,23.77,952,B,19,S,2041,7.17,56.92,4.08,12,FRI,DEC,N,2232,8.68,51.46,4.46,16,SUN,NOV
731,10,99,STA,24.272,122,B,19,S,5012,6.81,50.78,3.46,7,WED,APR,S,5255,6.67,54.39,3.63,15,MON,JAN
732,10,99,SJ,2.374,5,B,19,S,4925,7,51.2,3.58,7,MON,FEB,S,5019,7.08,51.55,3.65,15,THU,MAR
733,10,99,SJ,12.526,19,A,19,N,4098,7.59,59.11,4.49,7,TUE,JAN,N,3952,8.31,52.1,4.33,15,FRI,JUL
734,3,99,SAC,3.525,307,A,19,N,3330,6.69,58.64,3.92,6,MON,MAY,S,3422,7.66,52.61,4.03,16,FRI,JAN
735,3,99,SAC,6.008,501,A,19,N,3358,6.56,59.39,3.9,6,THU,APR,S,3468,7.22,55.77,4.03,16,THU,MAY
736,3,99,SAC,10.07,308,B,19,S,3325,7.48,51.2,3.83,12,SAT,MAY,S,3486,7.67,52.33,4.01,15,FRI,MAY
737,3,99,SAC,17.242,521,A,19,N,5332,5.92,63.89,3.78,6,TUE,FEB,S,5495,6.99,55.75,3.9,14,FRI,MAY
738,3,99,SAC,19.612,349,A,19,N,7081,5.61,62.95,3.53,6,WED,OCT,S,7303,6.88,52.92,3.64,14,WED,MAY
739,3,99,SAC,23.128,512,A,19,N,8944,6.38,58.3,3.72,7,THU,SEP,S,8861,6.73,54.76,3.68,14,MON,MAY
740,3,99,SAC,33.364,545,B,17,S,3638,8.21,71.35,5.86,7,TUE,OCT,N,3912,9.41,66.92,6.3,16,WED,SEP
741,3,99,SAC,35.37,544,B,17,N,3001,8.83,69.86,6.17,1,WED,DEC,N,3243,10.2,65.32,6.66,16,THU,AUG
742,3,99,SAC,36.863,546,O,17,S,2717,8.38,71.28,5.97,6,THU,SEP,N,2902,9.82,64.95,6.38,16,THU,SEP
743,3,99,SUT,0,546,O,17,S,2717,8.38,71.28,5.97,6,THU,SEP,N,2902,9.82,64.95,6.38,16,THU,SEP
744,3,99,SUT,8.07,344,B,19,S,2436,8.63,69.94,6.04,6,TUE,SEP,N,2141,8.63,61.49,5.31,16,WED,AUG
745,3,99,SUT,8.07,547,A,19,S,1077,7.82,72.97,5.7,6,MON,DEC,N,1033,8.91,61.42,5.47,15,FRI,AUG
746,3,99,SUT,12.029,548,O,17,S,1095,7.97,75,5.98,6,WED,SEP,N,1106,10,60.4,6.04,16,FRI,SEP
747,3,99,SUT,20.051,556,B,19,S,1062,7.52,75.11,5.65,6,MON,DEC,N,1059,9.07,62.11,5.63,16,THU,JUN
748,3,99,SUT,20.051,557,A,19,S,1272,7.45,78.81,5.87,6,TUE,OCT,N,1243,9.46,60.69,5.74,16,FRI,MAY
749,3,99,SUT,26.12,554,B,19,S,1341,6.68,78.98,5.27,6,TUE,OCT,N,1965,10.47,73.79,7.73,16,THU,JUL
750,3,99,SUT,29.67,553,A,19,N,1376,7.11,51.98,3.7,12,TUE,NOV,N,1540,8.01,51.66,4.14,16,FRI,AUG
751,3,99,SUT,29.67,552,B,19,N,1336,6.5,57.36,3.73,7,TUE,SEP,N,1507,7.82,53.8,4.21,17,FRI,JUL
752,3,99,SUT,30.252,561,A,17,N,1293,7.45,51.84,3.86,12,THU,JUN,N,1501,8.36,53.63,4.48,15,FRI,JUN
