year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT
2021,1,12,ORA,0.129,"DANA POINT, JCT. RTE. 5",38500,2395,6.22
2021,1,12,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",39000,1899,4.87
2021,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",39000,679,1.74
2021,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",39000,679,1.74
2021,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49500,564,1.14
2021,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49500,396,0.8
2021,1,12,ORA,21.549,SANTA ANA RIVER BRIDGE,39000,273,0.7
2021,1,12,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38500,308,0.8
2021,1,7,LA,0,LOS ANGELES/ORANGE COUNTY LINE,40500,543,1.34
2021,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",24200,649,2.68
2021,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",31500,986,3.13
2021,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",37500,2258,6.02
2021,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",36000,6847,19.02
2021,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",31500,6908,21.93
2021,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",30000,7401,24.67
2021,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",38500,1890,4.91
2021,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",53000,2862,5.4
2021,1,7,LA,13.1,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",57000,2702,4.74
2021,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",36000,1318,3.66
2021,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",39500,1315,3.33
2021,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",44000,1465,3.33
2021,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",42500,1415,3.33
2021,1,7,LA,25.924,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",58000,1786,3.08
2021,1,7,LA,27.363,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",34500,745,2.16
2021,1,7,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",53000,1145,2.16
2021,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",48500,1048,2.16
2021,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",61000,1531,2.51
2021,1,7,LA,34.576,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",40000,1224,3.06
2021,1,7,LA,35.17,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43
2021,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",49500,1332,2.69
2021,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",46000,1398,3.04
2021,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",11400,619,5.43
2021,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",10900,592,5.43
2021,1,7,VEN,9.866,CALLEGUAS CREEK,9900,645,6.52
2021,1,7,VEN,15.053,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",11400,746,6.54
2021,1,7,VEN,21.075,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",27000,740,2.74
2021,1,7,VEN,21.25,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",3900,347,8.91
2021,1,7,VEN,27.675,"SEACLIFF COLONY, JCT. RTE. 101, VENTURA FREEWAY",540,51,9.41
2021,1,7,VEN,28.48,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",540,70,13
2021,1,5,SB,0,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",7000,1190,17
2021,1,5,SB,19.251,"LOMPOC, SOUTH JCT. RTE. 246",7500,900,12
2021,1,5,SB,19.251,"LOMPOC, SOUTH JCT. RTE. 246",9900,2277,23
2021,1,5,SB,20.565,"LOMPOC, NORTH JCT. RTE. 246",12000,1560,13
2021,1,5,SB,20.565,"LOMPOC, NORTH JCT. RTE. 246",11600,1276,11
2021,1,5,SB,22.519,"LOMPOC, SANTA YNEZ RIVER BRIDGE",26000,3120,12
2021,1,5,SB,23.296,LOMPOC/CASMALIA ROAD,18800,1316,7
2021,1,5,SB,29.891,VANDENBERG AIR FORCE BASE,16000,1760,11
2021,1,5,SB,29.891,VANDENBERG AIR FORCE BASE,16500,1815,11
2021,1,5,SB,36.189,"JCT. RTE. 135, VANDENBURG, NORTH",16600,1826,11
2021,1,5,SB,34.777,"ORCUTT, JCT. RTE. 135 NORTH",19400,2134,11
2021,1,5,SB,34.777,"ORCUTT, JCT. RTE. 135 NORTH",4100,709,17.29
2021,1,5,SB,41.81,CASMALIA ROAD,3700,407,11.01
2021,1,5,SB,49.199,"GUADALUPE, JCT. RTE. 166 EAST",3800,570,15
2021,1,5,SB,49.199,"GUADALUPE, JCT. RTE. 166 EAST",6700,804,12
2021,1,5,SLO,10.9,HALCYON ROAD,12200,976,8
2021,1,5,SLO,10.9,HALCYON ROAD,9400,1115,11.86
2021,1,5,SLO,16.73,SOUTH JCT. RTE. 101,6700,224,3.34
2021,1,5,SLO,16.77,"SAN LUIS OBISPO, NORTH JCT. RTE. 101",24700,1976,8
2021,1,5,SLO,17.874,HIGHLAND DRIVE,23500,1645,7
2021,1,5,SLO,17.874,HIGHLAND DRIVE,22200,1776,8
2021,1,5,SLO,27.883,BAYWOOD PARK ROAD,18500,1480,8
2021,1,5,SLO,27.883,BAYWOOD PARK ROAD,25500,2040,8
2021,1,5,SLO,30.135,JCT. RTE. 41 NORTHEAST,23800,1904,8
2021,1,5,SLO,30.135,JCT. RTE. 41 NORTHEAST,19400,2716,14
2021,1,5,SLO,45.99,JCT. RTE. 46,7400,592,8
2021,1,5,SLO,45.99,JCT. RTE. 46,11400,1596,14
2021,1,5,SLO,56.39,HEARST CASTLE STATE PARK,3300,175,5.3
2021,1,5,MON,18.91,KIRK CREEK,1300,26,2
2021,1,5,MON,46.595,BIG SUR RIVER BRIDGE,3500,105,3
2021,1,5,MON,62.972,"BIG SUR, GARRAPATA CREEK BRIDGE",5400,108,2
2021,1,5,MON,72.921,"CARMEL VALLEY ROAD, CARMEL, SOUTH",36500,1825,5
2021,1,5,MON,72.921,"CARMEL VALLEY ROAD, CARMEL, SOUTH",17400,696,4
2021,1,5,MON,75.135,"JCT. RTE. 68, CARMEL- PACIFIC GROVE",47500,1900,4
2021,1,5,MON,75.135,"JCT. RTE. 68, CARMEL- PACIFIC GROVE",47500,2375,5
2021,1,5,MON,78.119,"MONTEREY, JCT. RTE. 68 EAST",84000,4200,5
2021,1,5,MON,78.119,"MONTEREY, JCT. RTE. 68 EAST",47000,2350,5
2021,1,5,MON,79.357,"SEASIDE, JCT. RTE. 218",55000,2750,5
2021,1,5,MON,79.357,"SEASIDE, JCT. RTE. 218",56000,2800,5
2021,1,5,MON,80.679,ORD VILLAGE INTERCHANGE,69000,3450,5
2021,1,5,MON,89.185,"SALINAS RIVER BRIDGE, CASTROVILLE, SOUTH",37500,2625,7
2021,1,5,MON,90.979,"CASTROVILLE, JCT. RTE. 156 WEST",42500,3400,8
2021,1,5,MON,90.979,"CASTROVILLE, JCT. RTE. 156 WEST",23200,2088,9
2021,1,5,MON,92.213,"CASTROVILLE, JCT. RTE. 183",26500,2650,10
2021,1,5,MON,101.04,SALINAS/PAJARO ROADS,29000,3190,11
2021,1,5,MON,101.04,SALINAS/PAJARO ROADS,38500,4235,11
2021,1,5,SCR,0.716,JCT. RTE. 129,38500,3850,10
2021,1,5,SCR,0.716,JCT. RTE. 129,41000,3280,8
2021,1,5,SCR,2.683,JCT. RTE. 152,31000,2790,9
2021,1,5,SCR,2.683,JCT. RTE. 152,54000,2700,5
2021,1,5,SCR,14.864,SOQUEL AVENUE,91000,5460,6
2021,1,5,SCR,16.821,"SANTA CRUZ, JCT. RTE. 17 NORTH",83000,4150,5
2021,1,5,SCR,16.821,"SANTA CRUZ, JCT. RTE. 17 NORTH",53000,2650,5
2021,1,5,SCR,20.611,"SANTA CRUZ, NORTH CITY LIMITS",14500,1305,9
2021,1,5,SCR,30.44,LANDING/SWANTON ROADS,9700,582,6
2021,1,4,SM,18.189,JCT. RTE. 84 EAST,5400,273,5.06
2021,1,4,SM,18.189,JCT. RTE. 84 EAST,6000,462,7.7
2021,1,4,SM,26.432,MIRAMONTES POINT ROAD,7200,361,5.01
2021,1,4,SM,29.036,"HALF MOON BAY, JCT. RTE. 92 EAST",24400,644,2.64
2021,1,4,SM,29.036,"HALF MOON BAY, JCT. RTE. 92 EAST",22000,700,3.18
2021,1,4,SM,35.334,VALLEMAR/ETHELDORE STREETS,13400,1018,7.6
2021,1,4,SM,40.959,"PACIFICA, LINDA MAR BOULEVARD",29500,797,2.7
2021,1,4,SM,43.464,"PACIFICA, SHARP PARK ROAD INTERCHANGE",42000,844,2.01
2021,1,4,SM,46.722,"DALY CITY, JCT. RTE. 35",43500,861,1.98
2021,1,4,SM,46.722,"DALY CITY, JCT. RTE. 35",62000,1048,1.69
2021,1,4,SM,47.802,SOUTH JCT. RTE. 280,66000,409,0.62
2021,1,4,SM,48.359,NORTH JCT. RTE. 280,80000,1096,1.37
2021,1,4,SF,1.897,"SAN FRANCISCO, JCT. RTE. 35",61000,976,1.6
2021,1,4,SF,4.05,"SAN FRANCISCO, LINCOLN WAY",61000,952,1.56
2021,1,4,SF,7.077,JCT. RTE. 101,55000,1210,2.2
2021,1,4,MRN,0,JCT. RTE. 101,30500,695,2.28
2021,1,4,MRN,0.65,"TAMALPAIS JUNCTION, ALMONTE BOULEVARD",30500,454,1.49
2021,1,4,MRN,3.35,SOUTH JCT. PANORAMIC HIGHWAY,3600,30,0.82
2021,1,4,MRN,17.2,BOLINAS ROAD,2600,40,1.52
2021,1,4,MRN,26.509,"SIR FRANCIS DRAKE BOULEVARD, SOUTH",3500,153,4.37
2021,1,4,MRN,45.36,TOMALES/PETALUMA ROADS,1400,29,2.1
2021,1,4,SON,0.19,VALLEY FORD ROAD,1100,38,3.43
2021,1,4,SON,5.38,BODEGA HIGHWAY,7900,493,6.24
2021,1,4,SON,20.1,JCT. RTE. 116 EAST,2300,63,2.76
2021,1,4,SON,20.1,JCT. RTE. 116 EAST,2900,168,5.8
2021,1,4,SON,33.038,"FORT ROSS, FORT ROSS ROAD",1900,118,6.2
2021,1,4,SON,48.112,STEWARTS POINT/SKAGGS SPRINGS ROAD,1700,174,10.25
2021,1,4,SON,48.112,STEWARTS POINT/SKAGGS SPRINGS ROAD,1700,169,9.93
2021,1,1,MEN,2.5,SONOMA/MENDOCINO COUNTY LINE,1840,285,15.49
2021,1,1,MEN,5.09,FISH ROCK ROAD,3100,172,5.55
2021,1,1,MEN,5.09,FISH ROCK ROAD,3100,170,5.48
2021,1,1,MEN,40.273,JCT. RTE. 128 EAST,3100,306,9.86
2021,1,1,MEN,40.273,JCT. RTE. 128 EAST,3000,205,6.83
2021,1,1,MEN,55.78,NORTH LIMITS CASPAR,8900,891,10.01
2021,1,1,MEN,59.803,JCT. RTE. 20 EAST,11000,679,6.17
2021,1,1,MEN,59.803,JCT. RTE. 20 EAST,4850,174,3.59
2021,1,1,MEN,90.874,JCT. RTE. 211 NORTH,600,91,15.17
2021,1,1,MEN,105.578,"LEGGETT, JCT. RTE. 101",650,57,8.75
2021,2,7,LA,3.645,"LOS ANGELES, JCT. RTE. 405, SAN DIEGO FREEWAY",40500,960,2.37
2021,2,7,LA,10.896,"LOS ANGELES, HIGHLAND AVENUE",31000,787,2.54
2021,2,7,LA,12.74,"LOS ANGELES, JCT. RTE. 101, HOLLYWOOD FREEWAY",44500,1130,2.54
2021,2,7,LA,12.75,"LOS ANGELES, JCT. RTE. 101, HOLLYWOOD FREEWAY",32500,1342,4.13
2021,2,7,LA,15.143,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",46000,1279,2.78
2021,2,7,LA,15.143,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",128000,2803,2.19
2021,2,7,LA,16.008,"LOS ANGELES, SAN FERNANDO ROAD INTERCHANGE",123000,2694,2.19
2021,2,7,LA,18.814,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY INTERCHANGE",128000,2803,2.19
2021,2,7,LA,18.814,"LOS ANGELES, JCT. RTE. 134, VENTURA FREEWAY INTERCHANGE",104000,1165,1.12
2021,2,7,LA,22.939,"LA CANADA-FLINTRIDGE, JCT. RTE. 210, FOOTHILL FREEWAY INTERCHANGE",99000,1752,1.77
2021,2,7,LA,23.438,"LA CANADA-FLINTRIDGE, FOOTHILL BOULEVARD",11600,130,1.12
2021,2,7,LA,24.463,"EAST JCT. RTE. 210, VIA ANGELES CREST HIGHWAY",12300,282,2.29
2021,2,7,LA,33.8,ANGELES FOREST HIGHWAY,2500,38,1.53
2021,2,7,LA,33.8,ANGELES FOREST HIGHWAY,600,33,5.55
2021,2,7,LA,38.37,MOUNT WILSON ROAD,600,33,5.55
2021,2,7,LA,38.37,MOUNT WILSON ROAD,290,15,5.24
2021,2,7,LA,64.085,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",170,8,4.92
2021,2,7,LA,64.085,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",170,8,4.92
2021,2,7,LA,77.39,BLUE RIDGE ROAD,170,8,4.61
2021,2,7,LA,77.39,BLUE RIDGE ROAD,310,13,4.29
2021,2,8,SBD,6.358,JCT. RTE. 138,7500,299,3.98
2021,3,2,TRI,0,JCT. RTE. 36,780,83,10.64
2021,3,2,TRI,6.22,MORGAN HILL ROAD,2000,215,10.77
2021,3,2,TRI,6.22,MORGAN HILL ROAD,1950,81,4.14
2021,3,2,TRI,7.2,HAYFORK,2850,307,10.77
2021,3,2,TRI,30.89,"WEAVERVILLE, NORTH JCT. RTE. 299",1900,148,7.79
2021,3,2,TRI,30.86,"WEAVERVILLE, NORTH JCT. RTE. 299",3050,125,4.09
2021,3,2,TRI,31.94,TOM BELL ROAD,2150,89,4.14
2021,3,2,TRI,31.94,TOM BELL ROAD,2350,107,4.57
2021,3,2,TRI,37.9,RUSH CREEK ROAD,610,64,10.49
2021,3,2,TRI,37.9,RUSH CREEK ROAD,1100,61,5.55
2021,3,2,TRI,59.64,TRINITY CENTER STATE HIGHWAY MAINTENANCE STATION,480,47,9.79
2021,3,2,TRI,79.501,U. S. FOREST SERVICE ROAD,150,16,10.67
2021,3,2,TRI,85.068,TRINITY/SISKIYOU COUNTY LINE,160,26,16.25
2021,3,2,SIS,0.408,TRINITY/SISKIYOU COUNTY LINE,160,26,16.25
2021,3,2,SIS,6.955,GAZELLE ROAD,280,37,13.12
2021,3,2,SIS,8.8,CALLAHAN,280,37,13.21
2021,3,2,SIS,8.8,CALLAHAN,410,47,11.35
2021,3,2,SIS,21,"ETNA, MAIN STREET",1200,127,10.58
2021,3,2,SIS,21,"ETNA, MAIN STREET",1450,144,9.92
2021,3,2,SIS,21.472,COLLIER WAY,1950,159,8.15
2021,3,2,SIS,32.2,"FORT JONES, SCOTT RIVER ROAD",2500,196,7.84
2021,3,2,SIS,32.2,"FORT JONES, SCOTT RIVER ROAD",3650,197,5.41
2021,3,2,SIS,38.258,MOFFETT CREEK ROAD,2700,184,6.83
2021,3,2,SIS,44.67,FOREST MOUNTAIN RANCH,3050,199,6.51
2021,3,2,SIS,47.264,"YREKA, MOONLIT OAKS AVENUE",14000,400,2.86
2021,3,2,SIS,47.264,"YREKA, MOONLIT OAKS AVENUE",6500,267,4.11
2021,3,2,SIS,48.164,"YREKA, OBERLIN ROAD",6800,249,3.66
2021,3,2,SIS,49.207,"YREKA, CENTER STREET",8500,183,2.15
2021,3,2,SIS,49.871,"YREKA, JCT. RTE. 263 NORTH",4500,307,6.82
2021,3,2,SIS,49.871,"YREKA, JCT. RTE. 263 NORTH",5900,723,12.25
2021,3,2,SIS,47.38,"YREKA, JCT. RTE. 5",3350,203,6.06
2021,3,2,SIS,48.955,"YREKA, AGER ROAD",2350,181,7.7
2021,3,2,SIS,49.454,"YREKA, PHILIPE LANE",2350,102,4.34
2021,3,2,SIS,53.22,"MONTAGUE, GRENADA ROAD",3400,205,6.03
2021,3,2,SIS,53.22,"MONTAGUE, GRENADA ROAD",1700,96,5.65
2021,3,2,SIS,54.187,"MONTAGUE, EAST CITY LIMITS",2750,136,4.93
2021,4,4,CC,0,"HERCULES, JCT. RTE. 80",43500,2710,6.23
2021,4,4,CC,11.4,PACHECO BLVD,72000,3910,5.43
2021,4,4,CC,12.667,JCT. RTE. 680,79000,3808,4.82
2021,4,4,CC,12.667,JCT. RTE. 680,76000,3868,5.09
2021,4,4,CC,14.668,"CONCORD, JCT. RTE. 242",79000,5340,6.76
2021,4,4,CC,14.668,"CONCORD, JCT. RTE. 242",178000,11143,6.26
2021,4,4,CC,18.83,WILLOW PASS RD (EAST)/SAN MARCO BLVD,166300,8598,5.17
2021,4,4,CC,18.83,WILLOW PASS RD (EAST)/SAN MARCO BLVD,148800,8214,5.52
2021,4,4,CC,20.102,BAILEY ROAD,156000,7176,4.6
2021,4,4,CC,44.367,BYRON HIGHWAY,28000,4315,15.41
2021,4,4,CC,44.367,BYRON HIGHWAY,24400,3536,14.49
2021,4,4,CC,46.46,DISCOVERY BAY BOULEVARD,10800,1493,13.82
2021,4,10,SJ,0,CONTRA COSTA/SAN JOAQUIN COUNTY LINE,13600,1537,11.3
2021,4,10,SJ,10.49,INLAND DRIVE,14000,1372,9.8
2021,4,10,SJ,10.49,INLAND DRIVE,14800,1806,12.2
2021,4,10,SJ,11.672,MAYBECK ROAD,15400,1786,11.6
2021,4,10,SJ,11.672,MAYBECK ROAD,15700,1711,10.9
2021,4,10,SJ,14.023,ROBERTS ISLAND ROAD,16400,2163,13.19
