year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2021,40,8,SBD,0.0,"BARSTOW, JCT. RTE. 15",22700,8444,37.2,34.88638888888889,-117.00680555555556
2021,40,8,SBD,7.181,A STREET,20500,7298,35.6,34.855222222222224,-116.8901388888889
2021,40,8,SBD,7.181,A STREET,17700,7036,39.75,34.855222222222224,-116.8901388888889
2021,40,8,SBD,12.191,AIRPORT ROAD,17700,6992,39.5,34.84144444444445,-116.80366666666666
2021,40,8,SBD,18.446,WEST NEWBERRY ROAD,15000,6711,44.74,34.830194444444444,-116.69452777777778
2021,40,8,SBD,28.481,E/O DESERT OASIS ROADSIDE REST,14500,7731,53.32,34.80069444444444,-116.52180555555556
2021,40,8,SBD,132.739,JCT. RTE. 95 NORTH,18200,7735,42.5,34.878277777777775,-114.75525
2021,40,8,SBD,139.117,PARK ROAD,15000,6675,44.5,34.87155555555555,-114.65216666666667
2021,40,8,SBD,143.764,JCT. RTE. 95 SOUTH,18700,8602,46.0,34.824222222222225,-114.59683333333332
2021,40,8,SBD,143.764,JCT. RTE. 95 SOUTH,15000,8070,53.8,34.824222222222225,-114.59683333333332
2021,40,8,SBD,154.643,ARIZONA STATE LINE,15500,8339,53.8,34.717222222222226,-114.48786111111112
