year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2022,80,4,SF,3.951,"SAN FRANCISCO, JCT. RTE. 101",175000,5075,2.9,37.76772222222222,-122.40502777777779
2022,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,231000,5960,2.58,37.823861111111114,-122.31363888888889
2022,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,231000,5798,2.51,37.823861111111114,-122.31363888888889
2022,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",293000,8028,2.74,37.82641666666667,-122.29925
2022,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",227000,4018,1.77,37.82641666666667,-122.29925
2022,80,4,ALA,3.786,"EMERYVILLE, POWELL STREET",247000,11831,4.79,37.83786111111112,-122.29641666666666
2022,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",237000,11305,4.77,37.849000000000004,-122.29886111111111
2022,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",236000,11352,4.81,37.849000000000004,-122.29886111111111
2022,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",164000,5248,3.2,37.92538888888889,-122.3206111111111
2022,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",196000,6272,3.2,37.92538888888889,-122.3206111111111
2022,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",185000,5994,3.24,37.93713888888889,-122.3261111111111
2022,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",192000,6816,3.55,37.93713888888889,-122.3261111111111
2022,80,4,CC,5.983,"RICHMOND, HILLTOP DRIVE",184000,7360,4.0,37.976222222222226,-122.31838888888889
2022,80,4,CC,7.597,"PINOLE, APPIAN WAY",167000,12976,7.77,37.99330555555556,-122.30197222222222
2022,80,4,CC,7.597,"PINOLE, APPIAN WAY",177000,7399,4.18,37.99330555555556,-122.30197222222222
2022,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",166000,7636,4.6,38.015055555555556,-122.26925
2022,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",125000,6688,5.35,38.015055555555556,-122.26925
2022,80,4,CC,14.139,CARQUINEZ BRIDGE,147000,7350,5.0,38.06097222222222,-122.22527777777778
2022,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",111000,5550,5.0,38.07641666666667,-122.23188888888889
2022,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",118000,5652,4.79,38.07641666666667,-122.23188888888889
2022,80,4,SOL,2.22,"VALLEJO, JCT. RTE. 780 SOUTHEAST",117000,5452,4.66,38.09136111111111,-122.23041666666667
2022,80,4,SOL,5.634,"VALLEJO, JCT. RTE. 37 WEST",120000,6084,5.07,38.13875,-122.2201388888889
2022,80,4,SOL,5.634,"VALLEJO, JCT. RTE. 37 WEST",129000,6669,5.17,38.13875,-122.2201388888889
2022,80,4,SOL,11.976,JCT. RTE. 12 WEST,157000,8164,5.2,38.208222222222226,-122.15022222222223
2022,80,4,SOL,11.976,JCT. RTE. 12 WEST,124000,6944,5.6,38.208222222222226,-122.15022222222223
2022,80,4,SOL,12.839,JCT. RTE. 680 SOUTH,157000,10299,6.56,38.21652777777778,-122.1378888888889
2022,80,4,SOL,12.839,JCT. RTE. 680 SOUTH,213000,12226,5.74,38.21652777777778,-122.1378888888889
2022,80,4,SOL,15.815,"FAIRFIELD, EAST JCT. RTE. 12",187000,10846,5.8,38.24005555555556,-122.09174999999999
2022,80,4,SOL,15.815,"FAIRFIELD, EAST JCT. RTE. 12",207000,9543,4.61,38.24005555555556,-122.09174999999999
2022,80,4,SOL,20.925,"FAIRFIELD, NORTH TEXAS STREET",177000,6496,3.67,38.29516666666667,-122.03391666666667
2022,80,4,SOL,20.925,"FAIRFIELD, NORTH TEXAS STREET",179000,9398,5.25,38.29516666666667,-122.03391666666667
2022,80,4,SOL,28.36,JCT. RTE. 505 NORTH,160000,9056,5.66,38.373583333333336,-121.9533888888889
2022,80,4,SOL,28.36,JCT. RTE. 505 NORTH,131000,8057,6.15,38.373583333333336,-121.9533888888889
2022,80,4,SOL,29.859,"VACAVILLE, LEISURE TOWN",136000,12621,9.28,38.388,-121.93386111111111
2022,80,4,SOL,38.21,JCT. RTE. 113 SOUTH,224000,15053,6.72,38.47288888888889,-121.82377777777778
2022,80,4,SOL,38.21,JCT. RTE. 113 SOUTH,230000,15456,6.72,38.47288888888889,-121.82377777777778
2022,80,4,SOL,42.67,JCT. RTE. 113 NORTH,232000,15544,6.7,38.520833333333336,-121.76891666666667
2022,80,3,YOL,0.237,RICHARDS BOULEVARD,107000,9384,8.77,38.54011111111111,-121.73541666666667
2022,80,3,YOL,9.905,"WEST SACRAMENTO, JCT. RTE. 50",130000,9581,7.37,38.57611111111112,-121.56511111111111
2022,80,3,YOL,9.905,"WEST SACRAMENTO, JCT. RTE. 50",101000,10090,9.99,38.57611111111112,-121.56511111111111
2022,80,3,YOL,11.228,JCT. RTE. 84 EAST,90000,8991,9.99,38.59205555555556,-121.55233333333334
2022,80,3,SAC,2.554,"SACRAMENTO, JCT. RTE. 5",82000,8807,10.74,38.62511111111111,-121.51722222222222
2022,80,3,SAC,2.554,"SACRAMENTO, JCT. RTE. 5",149000,11890,7.98,38.62511111111111,-121.51722222222222
2022,80,3,SAC,10.989,JCT. RTE. 51,155000,9920,6.4,38.64655555555556,-121.37697222222222
2022,80,3,SAC,10.989,JCT. RTE. 51,230000,8947,3.89,38.64655555555556,-121.37697222222222
2022,80,3,SAC,14.454,GREENBACK LANE,257000,11745,4.57,38.682694444444444,-121.33627777777777
2022,80,3,SAC,16.685,ANTELOPE ROAD,203000,5867,2.89,38.70738888888889,-121.30930555555555
2022,80,3,PLA,0.268,"ROSEVILLE, RIVERSIDE DRIVE",203000,9379,4.62,38.724555555555554,-121.29041666666666
2022,80,3,PLA,0.268,"ROSEVILLE, RIVERSIDE DRIVE",219000,11541,5.27,38.724555555555554,-121.29041666666666
2022,80,3,PLA,3.07,"ROSEVILLE, ATLANTIC STREET",161000,9274,5.76,38.75811111111111,-121.26144444444445
2022,80,3,PLA,4.16,JCT. RTE. 65,155000,9579,6.18,38.76983333333333,-121.24866666666667
2022,80,3,PLA,4.16,JCT. RTE. 65,120000,6672,5.56,38.76983333333333,-121.24866666666667
2022,80,3,PLA,7.421,"ROCKLIN, SIERRA COLLEGE BOULEVARD",81000,6464,7.98,38.80288888888889,-121.20541666666666
2022,80,3,PLA,15.62,HALLBOM ROAD UC,82000,6019,7.34,38.883472222222224,-121.10288888888888
2022,80,3,PLA,17.541,"AUBURN, JCT. RTE. 49",71000,5013,7.06,38.89994444444444,-121.07488888888888
2022,80,3,PLA,17.541,"AUBURN, JCT. RTE. 49",68000,5814,8.55,38.89994444444444,-121.07488888888888
2022,80,3,PLA,19.465,AUBURN RAVINE ROAD,60000,5826,9.71,38.92347222222222,-121.05752777777778
2022,80,3,PLA,19.465,AUBURN RAVINE ROAD,57000,6162,10.81,38.92347222222222,-121.05752777777778
2022,80,3,PLA,23.429,CLIPPER GAP,46500,8496,18.27,38.96980555555556,-121.01783333333333
2022,80,3,PLA,33.131,"COLFAX, JCT. RTE. 174 NORTH",33500,5350,15.97,39.09580555555556,-120.9495
2022,80,3,PLA,33.131,"COLFAX, JCT. RTE. 174 NORTH",34000,6443,18.95,39.09580555555556,-120.9495
2022,80,3,NEV,59.54,JCT. RTE. 20 WEST,27500,5913,21.5,39.32266666666667,-120.60413888888888
2022,80,3,NEV,59.54,JCT. RTE. 20 WEST,30000,5649,18.83,39.32266666666667,-120.60413888888888
2022,80,3,NEV,14.164,"TRUCKEE, JCT. RTE. 89 SOUTH",32000,5654,17.67,39.323,-120.20797222222222
2022,80,3,NEV,14.164,"TRUCKEE, JCT. RTE. 89 SOUTH",29000,5197,17.92,39.323,-120.20797222222222
2022,80,3,NEV,16.285,"JCT. RTE. 89 NORTH, JCT. RTE. 267 SOUTH",31500,5506,17.48,39.33647222222223,-120.17411111111112
2022,80,3,NEV,20.225,UNION HILLS BR OH,34000,7014,20.63,39.367111111111114,-120.11527777777778
2022,80,3,SIE,1.593,NEVADA STATE LINE,35500,6589,18.56,39.468361111111115,-120.00272222222222
