year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2022,10,7,LA,19.714,BUSWAY; EAST LA CITY LIMITS,13700,1434,10.47,34.055305555555556,-118.19186111111111
2022,10,7,LA,2.155,"SANTA MONICA, JCT. RTE. 1, LINCOLN BOULEVARD INTERCHANGE",143000,3604,2.52,34.01488888888889,-118.48597222222223
2022,10,7,LA,5.454,"LOS ANGELES, JCT. RTE. 405, SAN DIEGO FREEWAY INTERCHANGE",227000,4427,1.95,34.03136111111111,-118.43358333333333
2022,10,7,LA,5.454,"LOS ANGELES, JCT. RTE. 405, SAN DIEGO FREEWAY INTERCHANGE",239000,8078,3.38,34.03136111111111,-118.43358333333333
2022,10,7,LA,8.965,"LOS ANGELES, JCT. RTE. 187, VENICE BOULEVARD INTERCHANGE",248000,8382,3.38,34.03666666666666,-118.3756111111111
2022,10,7,LA,8.965,"LOS ANGELES, JCT. RTE. 187, VENICE BOULEVARD INTERCHANGE",267000,9025,3.38,34.03666666666666,-118.3756111111111
2022,10,7,LA,11.698,"LOS ANGELES, 10TH AVENUE",322000,10884,3.38,34.03541666666666,-118.32838888888888
2022,10,7,LA,14.836,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY INTERCHANGE",334000,11289,3.38,34.03811111111111,-118.27425
2022,10,7,LA,14.836,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY INTERCHANGE",247000,9016,3.65,34.03811111111111,-118.27425
2022,10,7,LA,16.025,SAN PEDRO STREET (BELOW),248000,9052,3.65,34.029583333333335,-118.25625
2022,10,7,LA,0.0,"LOS ANGELES, JCT. RTE. 101, SANTA ANA FREEWAY INTERCHANGE",85000,2083,2.45,34.05266666666667,-118.22455555555555
2022,10,7,LA,0.655,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",85000,2083,2.45,34.055388888888885,-118.21419444444444
2022,10,7,LA,0.655,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",189000,6596,3.49,34.055388888888885,-118.21419444444444
2022,10,7,LA,19.668,EAST LOS ANGELES CITY LIMITS,218000,6736,3.09,34.055305555555556,-118.1926388888889
2022,10,7,LA,21.382,"MONTEREY PARK, JCT. RTE. 710, LONG BEACH FREEWAY INTERCHANGE",213000,7327,3.44,34.06111111111111,-118.16516666666668
2022,10,7,LA,21.382,"MONTEREY PARK, JCT. RTE. 710, LONG BEACH FREEWAY INTERCHANGE",193000,5944,3.08,34.06111111111111,-118.16516666666668
2022,10,7,LA,24.32,ALMANSOR AVE,221000,6807,3.08,34.07152777777778,-118.11725
2022,10,7,LA,24.831,"MONTEREY PARK, NEW AVENUE INTERCHANGE",217000,6684,3.08,34.07166666666667,-118.10833333333333
2022,10,7,LA,26.857,"EL MONTE, JCT. RTE. 164, ROSEMEAD BOULEVARD",208000,6406,3.08,34.07205555555556,-118.07302777777777
2022,10,7,LA,26.857,"EL MONTE, JCT. RTE. 164, ROSEMEAD BOULEVARD",195000,6006,3.08,34.07205555555556,-118.07302777777777
2022,10,7,LA,31.151,"BALDWIN PARK, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY INTERCHANGE",224000,7549,3.37,34.06497222222222,-118.00019444444445
2022,10,7,LA,31.151,"BALDWIN PARK, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY INTERCHANGE",212000,13674,6.45,34.06497222222222,-118.00019444444445
2022,10,7,LA,36.5,"WEST COVINA, AZUSA AVENUE INTERCHANGE",191000,13637,7.14,34.07205555555556,-117.90758333333333
2022,10,7,LA,42.443,"POMONA, JCT. RTES. 57/71, ORANGE/CHINO VALLEY FREEWAYS INTERCHANGE",254000,17094,6.73,34.065083333333334,-117.80655555555555
2022,10,7,LA,42.443,"POMONA, JCT. RTES. 57/71, ORANGE/CHINO VALLEY FREEWAYS INTERCHANGE",206000,16150,7.84,34.065083333333334,-117.80655555555555
2022,10,7,LA,47.737,"POMONA, INDIAN HILL BOULEVARD INTERCHANGE",265000,18020,6.8,34.08166666666667,-117.71941666666667
2022,10,7,LA,48.265,LOS ANGELES/SAN BERNARDINO COUNTY LINE,212000,13886,6.55,34.081833333333336,-117.71036111111111
2022,10,8,SBD,0.0,LOS ANGELES/SAN BERNARDINO COUNTY LINE,212000,13886,6.55,34.081833333333336,-117.71036111111111
2022,10,8,SBD,1.229,"MONTCLAIR, CENTRAL AVENUE",210000,13944,6.64,34.08530555555556,-117.68986111111111
2022,10,8,SBD,1.229,"MONTCLAIR, CENTRAL AVENUE",217000,14409,6.64,34.08530555555556,-117.68986111111111
2022,10,8,SBD,3.468,"UPLAND, JCT. RTE. 83",217000,14517,6.69,34.08727777777778,-117.6511388888889
2022,10,8,SBD,3.468,"UPLAND, JCT. RTE. 83",219000,14651,6.69,34.08727777777778,-117.6511388888889
2022,10,8,SBD,9.936,"ONTARIO, JCT. RTE. 15",226000,15119,6.69,34.06736111111111,-117.54494444444444
2022,10,8,SBD,9.936,"ONTARIO, JCT. RTE. 15",224000,22915,10.23,34.06736111111111,-117.54494444444444
2022,10,8,SBD,11.132,ETIWANDA AVENUE,224000,22915,10.23,34.06741666666667,-117.52411111111111
2022,10,8,SBD,11.132,ETIWANDA AVENUE,191000,26778,14.02,34.06741666666667,-117.52411111111111
2022,10,8,SBD,13.169,"FONTANA, CHERRY AVENUE",191000,26587,13.92,34.06605555555555,-117.4888611111111
2022,10,8,SBD,18.492,"BLOOMINGTON, CEDAR AVENUE",178000,18209,10.23,34.06861111111112,-117.39611111111111
2022,10,8,SBD,18.492,"BLOOMINGTON, CEDAR AVENUE",177000,18019,10.18,34.06861111111112,-117.39611111111111
2022,10,8,SBD,20.965,PEPPER AVENUE,178000,17978,10.1,34.06888888888889,-117.353
