year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2019,40,8,SBD,0.0,"BARSTOW, JCT. RTE. 15",21800.0,8110,37.2,34.88638888888889,-117.00680555555556
2019,40,8,SBD,7.181,A STREET,19700.0,7013,35.6,34.855222222222224,-116.8901388888889
2019,40,8,SBD,7.181,A STREET,17000.0,6758,39.75,34.855222222222224,-116.8901388888889
2019,40,8,SBD,12.191,AIRPORT ROAD,17000.0,6715,39.5,34.84144444444445,-116.80366666666666
2019,40,8,SBD,18.446,WEST NEWBERRY ROAD,14500.0,6487,44.74,34.830194444444444,-116.69452777777778
2019,40,8,SBD,28.481,E/O DESERT OASIS ROADSIDE REST,14000.0,7407,52.91,34.80069444444444,-116.52180555555556
2019,40,8,SBD,132.739,JCT. RTE. 95 NORTH,17500.0,7438,42.5,34.878277777777775,-114.75525
2019,40,8,SBD,139.117,PARK ROAD,14400.0,6408,44.5,34.87155555555555,-114.65216666666667
2019,40,8,SBD,143.764,JCT. RTE. 95 SOUTH,18000.0,8280,46.0,34.824222222222225,-114.59683333333332
2019,40,8,SBD,143.764,JCT. RTE. 95 SOUTH,14400.0,7747,53.8,34.824222222222225,-114.59683333333332
2019,40,8,SBD,154.643,ARIZONA STATE LINE,14900.0,8016,53.8,34.717222222222226,-114.48786111111112
