year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2020,15,11,SD,2.226,JCT. RTE. 94,133000,6783,5.1,32.716833333333334,-117.11780555555555
2020,15,11,SD,3.367,JCT. RTE. 805,127000,6477,5.1,32.732305555555556,-117.11183333333332
2020,15,11,SD,3.367,JCT. RTE. 805,167000,3674,2.2,32.732305555555556,-117.11183333333332
2020,15,11,SD,6.132,JCT. RTE. 8,132000,2904,2.2,32.732305555555556,-117.11183333333332
2020,15,11,SD,6.132,JCT. RTE. 8,225000,11205,4.98,32.732305555555556,-117.11183333333332
2020,15,11,SD,9.995,CLAIREMONT MESA BOULEVARD INTERCHANGE,141000,9511,6.75,32.833666666666666,-117.11922222222222
2020,15,11,SD,12.124,JCT. RTE. 163,244000,9101,3.73,32.833666666666666,-117.11922222222222
2020,15,11,SD,14.285,"SAN DIEGO, MIRAMAR/ POMERADO ROADS",242000,9099,3.76,32.833666666666666,-117.11922222222222
2020,15,11,SD,14.285,"SAN DIEGO, MIRAMAR/ POMERADO ROADS",228000,8892,3.9,32.833666666666666,-117.11922222222222
2020,15,11,SD,18.176,"SAN DIEGO, POWAY ROAD",204000,14484,7.1,32.833666666666666,-117.11922222222222
2020,15,11,SD,18.176,"SAN DIEGO, POWAY ROAD",179000,12709,7.1,32.833666666666666,-117.11922222222222
2020,15,11,SD,27.65,"ESCONDIDO, SOUTH JUNCTION OF CENTRE CITY PARKWAY",159000,11289,7.1,32.833666666666666,-117.11922222222222
2020,15,11,SD,30.627,VALLEY PARKWAY,164000,11644,7.1,32.833666666666666,-117.11922222222222
2020,15,11,SD,31.517,JCT. RTE. 78,122000,28731,23.55,33.127,-117.10502777777778
2020,15,11,SD,31.517,JCT. RTE. 78,226000,16046,7.1,33.127,-117.10502777777778
2020,15,11,SD,31.517,JCT. RTE. 78,129000,13401,10.39,33.127,-117.10502777777778
2020,15,11,SD,36.636,DEER SPRINGS ROAD,122000,12214,10.01,33.197222222222216,-117.12591666666665
2020,15,11,SD,46.491,JCT. RTE. 76,131000,13401,10.23,33.331,-117.15950000000001
2020,15,11,SD,46.491,JCT. RTE. 76,129000,14268,11.06,33.331,-117.15950000000001
2020,15,8,RIV,0.0,SAN DIEGO/RIVERSIDE COUNTY LINE,130000,8775,6.75,33.43255555555555,-117.14380555555556
2020,15,8,RIV,1.098,RAINBOW TRUCK FACILITY,130000,4836,3.72,33.44716666666666,-117.13636111111111
2020,15,8,RIV,3.436,SOUTH JCT. RTE. 79,130000,8775,6.75,33.480555555555554,-117.1405
2020,15,8,RIV,3.436,SOUTH JCT. RTE. 79,144000,10152,7.05,33.480555555555554,-117.1405
2020,15,8,RIV,6.623,NORTH JCT RTE. 79,153000,10052,6.57,33.522638888888885,-117.16283333333334
2020,15,8,RIV,8.737,JCT. RTE. 215 NORTH,177000,9824,5.55,33.54933333333333,-117.18166666666667
2020,15,8,RIV,8.737,JCT. RTE. 215 NORTH,95000,8550,9.0,33.54933333333333,-117.18166666666667
2020,15,8,RIV,15.071,BAXTER ROAD,109000,9483,8.7,33.61238888888889,-117.25983333333333
2020,15,8,RIV,20.948,MAIN STREET,107000,9844,9.2,33.67736111111111,-117.32338888888889
2020,15,8,RIV,22.277,JCT. RTE. 74,104000,7758,7.46,33.69219444444444,-117.33741666666666
2020,15,8,RIV,22.277,JCT. RTE. 74,105000,11025,10.5,33.69219444444444,-117.33741666666666
2020,15,8,RIV,41.501,JCT. RTE. 91,168000,9425,5.61,33.88194444444444,-117.54713888888888
2020,15,8,RIV,44.66,"FOURTH ST, NORCO",137000,15700,11.46,33.924277777777775,-117.55638888888889
2020,15,8,RIV,51.474,JCT. RTE. 60,197000,16154,8.2,34.02175,-117.55011111111111
2020,15,8,SBD,2.389,JCT. RTE. 10,192000,19872,10.35,34.06738888888889,-117.54472222222222
2020,15,8,SBD,5.306,JCT. RTE. 66,186000,15066,8.1,34.10630555555556,-117.53191666666666
2020,15,8,SBD,5.306,JCT. RTE. 66,162000,13252,8.18,34.10630555555556,-117.53191666666666
2020,15,8,SBD,5.973,"RANCHO CUCAMONGA, MILLER AVENUE",165000,14388,8.72,34.113,-117.52383333333333
2020,15,8,SBD,31.813,JCT. RTE. 395 NORTH,142000,19213,13.53,34.39975,-117.40127777777778
2020,15,8,SBD,31.813,JCT. RTE. 395 NORTH,110000,17193,15.63,34.39975,-117.40127777777778
2020,15,8,SBD,40.509,JCT. RTE. 18 SOUTH,94000,16986,18.07,34.50761111111111,-117.32283333333334
2020,15,8,SBD,40.509,JCT. RTE. 18 SOUTH,88000,15022,17.07,34.50761111111111,-117.32283333333334
2020,15,8,SBD,43.488,"VICTORVILLE, JCT. RTE. 18 SOUTHEAST",59000,13959,23.66,34.545361111111106,-117.30063888888888
2020,15,8,SBD,68.77,"BARSTOW, LENWOOD ROAD",54000,13495,24.99,34.853500000000004,-117.08494444444445
2020,15,8,SBD,68.77,"BARSTOW, LENWOOD ROAD",60000,14346,23.91,34.853500000000004,-117.08494444444445
2020,15,8,SBD,74.418,"BARSTOW, JCT. RTE. 40 EAST",68000,13376,19.67,34.88719444444445,-117.0068611111111
2020,15,8,SBD,74.418,"BARSTOW, JCT. RTE. 40 EAST",43000,7181,16.7,34.88719444444445,-117.0068611111111
2020,15,8,SBD,76.883,JCT. RTE. 58 WEST,43000,7310,17.0,34.907777777777774,-116.97297222222223
2020,15,8,SBD,76.883,JCT. RTE. 58 WEST,43000,7091,16.49,34.907777777777774,-116.97297222222223
2020,15,8,SBD,87.26,YERMO INSPECTION STATION,38000,6973,18.35,34.913888888888884,-116.79266666666666
2020,15,8,SBD,136.574,"BAKER, JCT. RTE. 127",33000,6600,20.0,35.26358333333334,-116.07330555555555
2020,15,8,SBD,136.574,"BAKER, JCT. RTE. 127",32000,6733,21.04,35.26358333333334,-116.07330555555555
2020,15,8,SBD,176.459,NIPTON ROAD,37000,6645,17.96,35.473305555555555,-115.44872222222223
2020,15,8,SBD,186.238,NEVADA STATE LINE,38000,6825,17.96,35.607194444444445,-115.39105555555557
