,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1056,8,177,RIV,27.024,916,B,20,S,273,19.34,88.64,17.14,11,SUN,AUG,S,239,17.33,86.59,15,16,SUN,AUG
1057,6,178,KER,1.705,900,A,18,W,2654,8.93,56.31,5.03,7,TUE,FEB,E,3028,9.55,60.09,5.74,17,THU,NOV
1058,6,178,KER,5.641,308,A,18,W,2729,9.52,71.2,6.78,8,TUE,NOV,E,2317,9.45,60.94,5.76,18,WED,NOV
1059,6,178,KER,7.687,178,A,18,W,1476,11.39,68.14,7.76,7,WED,NOV,E,1107,9.47,61.47,5.82,16,FRI,MAY
1060,6,178,KER,7.687,309,B,20,W,2092,12.02,66.43,7.98,7,THU,NOV,E,1639,9.91,63.14,6.25,17,TUE,DEC
1061,6,178,KER,9.614,312,A,20,W,982,9.5,74.11,7.04,7,WED,JAN,E,821,9.93,59.32,5.89,16,WED,OCT
1062,6,178,KER,9.614,311,B,20,W,1032,10.36,75.16,7.79,7,WED,OCT,E,773,9.42,61.94,5.83,17,MON,OCT
1063,6,178,KER,10.191,320,A,20,W,376,14.63,54.26,7.94,12,SUN,AUG,W,452,13.91,68.59,9.54,15,SUN,JUN
1064,6,178,KER,10.962,615,A,18,W,222,9.34,61.33,5.73,12,SUN,MAY,E,258,9.78,68.07,6.66,16,FRI,AUG
1065,6,178,KER,28.511,173,B,18,W,248,9.12,70.86,6.46,10,SUN,AUG,W,261,10.06,67.62,6.8,14,SUN,AUG
1066,6,178,KER,42.941,413,B,18,W,270,11.29,61.09,6.9,12,SUN,MAY,W,244,9.56,65.24,6.23,13,SUN,MAY
1067,9,178,KER,57.076,964,A,18,E,222,12.86,64.72,8.32,11,SUN,AUG,E,195,11.21,65.22,7.31,13,SUN,AUG
