year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT
2019,1,12,ORA,0.129,"DANA POINT, JCT. RTE. 5",38250,2379,6.22
2019,1,12,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",38900,1894,4.87
2019,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2019,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2019,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,565,1.14
2019,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,397,0.8
2019,1,12,ORA,21.549,SANTA ANA RIVER BRIDGE,38800,272,0.7
2019,1,12,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38300,306,0.8
2019,1,7,LA,0,LOS ANGELES/ORANGE COUNTY LINE,43800,587,1.34
2019,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",26000,697,2.68
2019,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",34000,1064,3.13
2019,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",40500,2438,6.02
2019,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",39000,7418,19.02
2019,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",34000,7456,21.93
2019,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",32000,7894,24.67
2019,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",41500,2038,4.91
2019,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",56000,3024,5.4
2019,1,7,LA,13.1,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",61000,2891,4.74
2019,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",39000,1427,3.66
2019,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",42500,1415,3.33
2019,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",47000,1565,3.33
2019,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",46000,1532,3.33
2019,1,7,LA,25.924,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",62000,1910,3.08
2019,1,7,LA,27.363,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",37000,799,2.16
2019,1,7,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",57000,1231,2.16
2019,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",52000,1123,2.16
2019,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",65000,1632,2.51
2019,1,7,LA,34.576,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",43000,1316,3.06
2019,1,7,LA,35.17,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43
2019,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",53000,1426,2.69
2019,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",49000,1490,3.04
2019,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",12300,668,5.43
2019,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",11700,635,5.43
2019,1,7,VEN,9.866,CALLEGUAS CREEK,9900,645,6.52
2019,1,7,VEN,15.053,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",12800,837,6.54
