year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2020,80,3,PLA,19.465,AUBURN RAVINE ROAD,53000,5729,10.81,38.92347222222222,-121.05752777777778
2020,80,3,PLA,23.429,CLIPPER GAP,44500,8128,18.27,38.96980555555556,-121.01783333333333
2020,80,3,PLA,33.131,"COLFAX, JCT. RTE. 174 NORTH",30000,4791,15.97,39.09580555555556,-120.9495
2020,80,3,PLA,33.131,"COLFAX, JCT. RTE. 174 NORTH",29500,5590,18.95,39.09580555555556,-120.9495
2020,80,3,NEV,59.54,JCT. RTE. 20 WEST,26000,5590,21.5,39.32266666666667,-120.60413888888888
2020,80,3,NEV,59.54,JCT. RTE. 20 WEST,28500,5367,18.83,39.32266666666667,-120.60413888888888
2020,80,3,NEV,14.164,"TRUCKEE, JCT. RTE. 89 SOUTH",31500,5645,17.92,39.323,-120.20797222222222
2020,80,3,NEV,14.164,"TRUCKEE, JCT. RTE. 89 SOUTH",35000,6185,17.67,39.323,-120.20797222222222
2020,80,3,NEV,16.285,"JCT. RTE. 89 NORTH, JCT. RTE. 267 SOUTH",34500,6031,17.48,39.33647222222223,-120.17411111111112
2020,80,3,NEV,20.225,UNION HILLS BR OH,34000,7014,20.63,39.367111111111114,-120.11527777777778
2020,80,3,SIE,1.593,NEVADA STATE LINE,33000,6125,18.56,39.468361111111115,-120.00272222222222
