year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2019,80,4,SF,3.951,"SAN FRANCISCO, JCT. RTE. 101",182000.0,5278,2.9,37.76772222222222,-122.40502777777779
2019,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,265000.0,6837,2.58,37.823861111111114,-122.31363888888889
2019,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,214500.0,5384,2.51,37.823861111111114,-122.31363888888889
2019,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",214500.0,3797,1.77,37.82641666666667,-122.29925
2019,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",276000.0,7562,2.74,37.82641666666667,-122.29925
2019,80,4,ALA,3.786,"EMERYVILLE, POWELL STREET",233000.0,11161,4.79,37.83786111111112,-122.29641666666666
2019,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",233000.0,11207,4.81,37.849000000000004,-122.29886111111111
2019,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",234000.0,11162,4.77,37.849000000000004,-122.29886111111111
2019,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",142000.0,4544,3.2,37.92538888888889,-122.3206111111111
2019,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",172000.0,5504,3.2,37.92538888888889,-122.3206111111111
2019,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",169000.0,5476,3.24,37.93713888888889,-122.3261111111111
2019,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",163000.0,5787,3.55,37.93713888888889,-122.3261111111111
2019,80,4,CC,5.983,"RICHMOND, HILLTOP DRIVE",162000.0,6480,4.0,37.976222222222226,-122.31838888888889
2019,80,4,CC,7.597,"PINOLE, APPIAN WAY",167000.0,10053,6.02,37.99330555555556,-122.30197222222222
2019,80,4,CC,7.597,"PINOLE, APPIAN WAY",167000.0,6981,4.18,37.99330555555556,-122.30197222222222
2019,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",171000.0,7866,4.6,38.015055555555556,-122.26925
2019,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",118000.0,6313,5.35,38.015055555555556,-122.26925
2019,80,4,CC,14.139,CARQUINEZ BRIDGE,125000.0,6250,5.0,38.06097222222222,-122.22527777777778
2019,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",125000.0,5988,4.79,38.07641666666667,-122.23188888888889
2019,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",125000.0,6250,5.0,38.07641666666667,-122.23188888888889
