,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
898,10,120,TUO,23.897,175,A,22,W,322,12.93,66.12,8.55,11,SUN,JUN,W,312,11.95,69.33,8.28,16,SUN,MAY
899,10,120,TUO,24.647,203,A,22,W,219,17.6,64.79,11.41,12,SUN,JUL,W,212,17.08,64.63,11.04,16,SAT,JUL
900,9,120,MNO,12.056,948,B,22,W,154,19.4,71.96,13.96,10,WED,SEP,E,169,21.12,72.53,15.32,17,FRI,JUL
901,9,120,MNO,13.37,625,A,22,E,63,26.52,53.39,14.16,9,WED,SEP,W,61,23.15,59.22,13.71,13,SUN,SEP
902,9,120,MNO,51.86,311,A,22,W,24,26.28,58.54,15.38,11,SUN,JUN,W,26,22.44,74.29,16.67,17,WED,AUG
903,9,120,MNO,51.86,100,B,22,E,31,21.43,57.41,12.3,11,FRI,SEP,W,33,20.64,63.46,13.1,15,FRI,AUG
904,9,120,MNO,58.99,626,B,22,W,37,11.19,80.44,9,12,SUN,DEC,W,43,18.25,57.33,10.46,14,THU,AUG
905,4,121,SON,7.438,16,B,20,S,973,8.88,61.94,5.5,9,TUE,DEC,S,952,8.18,65.79,5.38,17,FRI,DEC
906,4,121,NAP,10.55,96,B,20,S,386,9.01,72.02,6.49,7,THU,OCT,N,515,14.03,61.75,8.66,16,FRI,OCT
907,4,121,NAP,10.68,412,B,20,S,480,13.79,71.22,9.82,8,WED,OCT,N,547,14.06,79.62,11.19,17,THU,OCT
908,10,124,AMA,0,211,A,20,W,255,8.68,69.29,6.01,12,SAT,OCT,W,339,10.4,76.87,8,15,TUE,JUN
909,11,125,SD,2.447,130,B,20,S,959,12.79,71.62,9.16,7,THU,DEC,N,858,12.06,67.93,8.19,16,TUE,DEC
