,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1105,6,198,TUL,16.764,965,B,21,W,1229,8.5,54.77,4.66,7,TUE,APR,E,1419,9.62,55.89,5.38,16,MON,MAR
1106,6,198,TUL,18.761,134,B,21,W,1015,8.61,52.21,4.5,7,WED,APR,E,1155,9.38,54.56,5.12,17,WED,APR
1107,6,198,TUL,19.762,18,A,20,E,512,11.49,63.37,7.28,12,SAT,JUL,E,532,12.64,59.84,7.56,13,SUN,JUL
1108,6,198,TUL,27.96,630,A,21,E,525,13.77,73.22,10.08,11,SAT,JUL,W,559,12.87,83.43,10.74,17,SUN,FEB
1109,6,198,TUL,27.96,408,B,20,E,467,15.86,61.29,9.72,11,SUN,JUL,W,538,15.48,72.31,11.2,16,SUN,JUL
1110,6,198,TUL,42.35,135,A,20,E,327,18.29,89.34,16.34,10,SAT,JUL,W,324,17.59,92.05,16.19,17,SAT,JAN
1111,1,199,DN,4.16,730,B,21,N,329,15.45,51.33,7.93,11,SUN,JUN,N,329,14.03,56.53,7.93,14,MON,SEP
1112,1,199,DN,4.404,731,A,21,N,503,15.92,51.75,8.24,12,SUN,JUL,N,493,15.7,51.41,8.07,15,SUN,JUN
1113,6,201,FRE,0,136,A,20,W,521,8.11,52,4.22,12,FRI,NOV,E,603,7.24,67.37,4.88,17,SUN,MAY
1114,6,201,TUL,1.4,654,A,20,E,243,7.42,56.78,4.21,12,SUN,NOV,E,340,10.98,53.63,5.89,15,FRI,NOV
1115,6,201,TUL,13.97,27,B,20,E,115,18.13,56.1,10.17,5,WED,JUN,E,88,12.56,61.97,7.78,16,TUE,DEC
1116,6,201,TUL,13.98,26,A,20,W,287,8.74,60.81,5.32,7,FRI,MAR,E,330,11.1,55.09,6.11,16,THU,DEC
1117,6,201,TUL,23.957,137,B,20,E,85,8.54,68.55,5.85,11,SUN,JUL,W,95,9.78,66.9,6.54,13,SAT,OCT
1118,9,202,KER,2.16,922,A,20,W,464,6.92,74.6,5.16,5,MON,JUN,E,629,12.46,56.16,7,15,WED,DEC
1119,9,202,KER,5.5,968,A,20,E,1172,13.96,85.36,11.91,5,MON,DEC,E,918,10.57,88.27,9.33,21,SUN,DEC
1120,9,202,KER,8.87,606,B,19,W,698,7.84,60.07,4.71,12,MON,APR,W,842,9.26,61.37,5.68,16,THU,OCT
1121,9,202,KER,12.008,932,B,20,E,727,7.17,74.49,5.34,6,WED,DEC,W,898,10.5,62.84,6.6,16,WED,DEC
1122,9,203,MNO,4.47,959,B,21,E,566,15.97,80.97,12.93,7,SUN,MAR,W,649,18.21,81.43,14.83,15,SUN,JAN
1123,9,203,MNO,4.782,107,A,21,E,686,11.72,58.88,6.9,10,SUN,JUL,E,778,12.43,62.95,7.82,16,WED,MAR
1124,9,203,MNO,6.866,108,B,21,E,635,12.12,70.24,8.51,10,SUN,JUN,W,557,13.04,57.25,7.47,16,WED,JUL
1125,9,203,MNO,8.56,921,B,21,E,806,14.08,65.53,9.23,10,SUN,MAY,W,674,13,59.33,7.72,14,FRI,AUG
1126,6,204,KER,6.258,204,B,21,S,1643,8.69,56.77,4.94,7,THU,AUG,S,1813,10.64,51.2,5.45,16,WED,SEP
1127,4,205,ALA,0.214,251,A,20,E,5119,7.78,53.92,4.2,12,SAT,NOV,E,5812,6.94,68.68,4.76,14,TUE,NOV
1128,10,205,SJ,0,76,A,19,E,4850,7.35,50.24,3.69,12,SAT,MAR,E,5134,5.87,66.65,3.91,17,THU,APR
1129,10,205,SJ,1,8,B,20,W,4966,4.7,87.91,4.13,4,WED,JUN,E,5282,5.89,74.64,4.39,19,THU,FEB
1130,10,205,SJ,8.127,121,A,20,E,4994,7.26,52.99,3.85,12,SAT,JAN,E,4998,6.44,59.77,3.85,14,TUE,SEP
1131,7,210,LA,7.194,781,O,20,W,5894,7.68,62.62,4.81,6,TUE,DEC,E,6234,9.97,51.01,5.09,16,THU,FEB
1132,7,210,LA,23.547,759,O,21,W,4685,8.39,53.32,4.47,7,MON,SEP,W,4283,8,51.12,4.09,15,FRI,OCT
1133,7,210,LA,26.5,445,A,21,E,14339,7.25,62.8,4.55,11,SAT,JUN,E,14218,7.26,62.2,4.52,13,SUN,JUN
