DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH,YEAR,,
3,5,SAC,26.722,39,B,18,S,7305,7.25,57.01,4.13,7,TUE,MAR,N,7822,7.33,60.35,4.43,16,WED,NOV,2019,,
3,5,SAC,29.022,44,B,18,S,5423,7.49,53.41,4,7,MON,AUG,N,6609,7.96,61.23,4.88,16,WED,APR,2019,,
3,5,SAC,29.907,50,A,19,N,3267,5.7,61.98,3.53,7,THU,JUN,S,3342,6.64,54.47,3.62,14,FRI,APR,2019,,
3,5,SAC,34.652,60,O,19,N,2693,6.96,58.58,4.08,7,MON,APR,S,3127,7.23,65.46,4.74,17,THU,JUL,2019,,
3,5,YOL,0,60,O,19,N,2693,6.96,58.58,4.08,7,MON,APR,S,3127,7.23,65.46,4.74,17,THU,JUL,2019,,
3,5,YOL,5.53,65,B,19,N,2744,7.3,56.37,4.12,7,MON,APR,S,3248,7.89,61.74,4.87,15,TUE,APR,2019,,
3,5,YOL,6.5,70,A,17,S,1242,7.81,55.65,4.35,12,THU,DEC,S,1407,9.12,54.01,4.92,15,WED,DEC,2019,,
3,5,YOL,7.086,75,A,19,S,1583,7.52,51.75,3.89,12,FRI,APR,S,1846,8.46,53.66,4.54,15,FRI,NOV,2019,,
3,5,YOL,22.61,80,A,19,S,1815,9.1,54.54,4.96,11,WED,NOV,S,2161,9.3,63.52,5.91,15,SAT,NOV,2019,,
3,5,YOL,22.61,79,B,19,S,1146,8.31,53.48,4.45,12,SUN,AUG,N,1273,8.45,58.48,4.94,14,FRI,AUG,2019,,
3,5,COL,17.975,85,B,19,S,1676,10.05,54.81,5.51,12,SAT,JUL,S,1927,10.37,61.1,6.33,16,SAT,NOV,2019,,
3,5,GLE,9.872,345,B,17,S,1363,10.18,52.14,5.31,11,SAT,AUG,S,1748,11.23,60.61,6.81,16,SUN,AUG,2019,,
3,5,GLE,10.877,202,B,19,S,1556,9.2,58.43,5.37,10,SUN,JUL,S,1773,11.88,51.56,6.12,17,FRI,AUG,2019,,
3,5,GLE,24.817,92,B,17,S,1391,9.26,53.87,4.99,11,SUN,AUG,S,1717,10.65,57.87,6.16,15,SUN,AUG,2019,,
3,5,GLE,27.812,95,A,19,N,1541,9.74,56.78,5.53,11,SAT,JUN,N,1677,9.85,61.12,6.02,14,WED,JUL,2019,,
2,5,TEH,9.972,271,O,19,S,1700,9.59,54.19,5.2,12,SUN,JUL,S,1882,9.69,59.41,5.76,13,MON,MAY,2019,,
2,5,TEH,38.716,206,A,19,N,1960,8.75,52.67,4.61,11,FRI,JUN,S,2072,9.61,50.71,4.87,14,FRI,JUN,2019,,
2,5,SHA,3.83,272,B,19,N,2545,7.33,65.16,4.77,7,THU,AUG,S,2575,8.98,53.76,4.83,16,FRI,AUG,2019,,
2,5,SHA,7.8,239,B,19,N,2731,7.63,63.7,4.86,7,TUE,OCT,S,2829,9.01,55.85,5.03,15,FRI,NOV,2019,,
2,5,SHA,13.952,298,O,19,N,3003,7.82,61.88,4.84,7,MON,NOV,S,2942,8.73,54.35,4.74,16,THU,DEC,2019,,
2,5,SHA,14.459,304,A,19,N,3031,8.18,53.41,4.37,7,THU,OCT,S,3196,8.88,51.88,4.6,15,FRI,OCT,2019,,
2,5,SHA,15.448,196,A,19,S,2767,7.95,57.25,4.55,7,TUE,DEC,S,2787,8.48,54.09,4.59,15,THU,MAY,2019,,
2,5,SHA,19.402,312,B,19,N,2203,8.72,53.33,4.65,12,FRI,AUG,N,2516,8.77,60.57,5.31,17,WED,JUL,2019,,
2,5,SHA,24.08,309,A,19,S,1339,12.01,50.41,6.05,12,SAT,JUL,S,1407,10.87,58.5,6.36,15,SUN,AUG,2019,,
2,5,SHA,26.035,273,B,19,S,1422,12.36,51.1,6.31,12,SUN,JUL,S,1425,10.86,58.28,6.33,16,SUN,JUN,2019,,
2,5,SHA,57.41,179,B,19,N,1241,11.73,55.83,6.55,10,SUN,JUN,S,1229,12.83,50.54,6.48,13,SAT,DEC,2019,,
2,5,SIS,22.999,294,O,19,S,978,11,54.79,6.03,12,MON,SEP,S,1021,10.82,58.14,6.29,16,SAT,NOV,2019,,
2,5,SIS,52.777,232,O,19,S,970,11.06,55.49,6.14,11,MON,SEP,N,1001,11.46,55.27,6.33,15,SUN,JUN,2019,,
2,5,SIS,62.921,410,A,19,N,1011,10.94,56.8,6.21,12,SAT,JUN,N,1065,12.55,52.16,6.54,13,THU,DEC,2019,,
9,6,INY,0,944,A,19,S,247,8.57,72.86,6.24,7,THU,SEP,N,227,9.48,60.53,5.74,17,THU,FEB,2019,,
9,6,INY,3.952,945,A,19,S,140,8.62,71.43,6.15,6,TUE,APR,N,138,8.44,71.88,6.07,16,TUE,MAR,2019,,
9,6,MNO,32.29,997,B,19,S,73,9.79,65.77,6.44,12,THU,AUG,S,71,11.29,55.47,6.26,13,SUN,NOV,2019,,
11,7,IMP,6.718,402,B,19,N,416,10.22,56.83,5.81,9,TUE,AUG,S,395,9.57,57.58,5.51,16,FRI,MAR,2019,,
11,8,SD,1.213,958,A,19,E,4276,7.57,56.93,4.31,7,WED,SEP,W,4195,7.13,59.27,4.23,17,FRI,OCT,2019,,
11,8,SD,1.213,951,B,17,E,2243,7.99,58.31,4.66,7,TUE,NOV,W,2021,6.68,62.8,4.2,17,MON,APR,2019,,
11,8,SD,0.023,859,A,19,W,8038,7.48,58.92,4.41,7,MON,OCT,E,7907,7.17,60.47,4.34,13,FRI,AUG,2019,,
11,8,SD,0.946,804,A,19,W,8413,7.43,57.03,4.24,8,WED,SEP,E,7975,7.44,54,4.02,14,FRI,JUN,2019,,
11,8,SD,8.336,808,A,19,W,9666,6.38,76.53,4.88,6,WED,FEB,E,9475,7.84,61.07,4.79,15,MON,OCT,2019,,
11,8,SD,11.764,810,B,19,W,6871,5.12,72.82,3.73,6,WED,APR,E,8239,7.43,60.24,4.47,14,FRI,SEP,2019,,
11,8,SD,18.727,824,B,19,W,4515,6.83,66.79,4.56,7,THU,FEB,E,4370,7.88,56.07,4.42,15,FRI,AUG,2019,,
11,8,SD,51.98,621,B,17,W,1191,13.18,53.46,7.04,12,MON,DEC,E,1378,14.61,55.79,8.15,14,MON,SEP,2019,,
11,8,SD,65.904,981,A,19,W,1136,12.04,53.99,6.5,12,SUN,MAR,W,1307,12.23,61.16,7.48,14,WED,JUL,2019,,
11,8,IMP,10.291,994,A,19,W,978,10.95,60.82,6.66,11,FRI,APR,E,1159,14.44,54.64,7.89,13,WED,NOV,2019,,
11,8,IMP,10.291,993,B,19,W,1063,10.72,60.12,6.44,11,FRI,APR,E,1231,13.58,54.96,7.46,13,WED,NOV,2019,,
11,8,IMP,23.48,624,A,19,E,968,10.35,62.25,6.44,12,SUN,OCT,W,1035,11.94,57.72,6.89,15,WED,JUL,2019,,
11,8,IMP,36.973,982,B,19,E,1119,11.3,54.4,6.15,11,SAT,DEC,E,1192,11.05,59.25,6.55,16,MON,SEP,2019,,
11,8,IMP,65.752,691,A,19,E,1126,11.23,56.58,6.35,11,THU,DEC,E,1164,11.84,55.48,6.57,14,FRI,MAR,2019,,
11,8,IMP,65.752,690,B,19,W,2048,17.62,81.72,14.4,9,FRI,JAN,E,1534,16.39,65.81,10.79,15,MON,SEP,2019,,
4,9,SCL,0,50,A,19,S,437,19.38,67.03,12.99,12,SAT,JUL,S,387,18.9,60.85,11.5,14,SAT,JUL,2019,,
7,10,LA,19.714,783,O,17,W,1598,12.09,96.21,11.63,7,WED,MAY,E,1312,12.02,79.42,9.55,17,THU,SEP,2019,S,
7,10,LA,3.89,402,B,19,E,6594,7.26,64.77,4.7,8,TUE,DEC,E,5941,5.95,71.26,4.24,19,SAT,MAY,2019,,
7,10,LA,19.668,752,O,17,E,8064,6.33,58.28,3.69,12,FRI,MAY,E,9022,6.62,62.43,4.13,16,FRI,MAR,2019,,
7,10,LA,30.3,429,A,17,W,8875,6.51,61.47,4,8,TUE,JAN,W,8569,7.07,54.65,3.86,14,SAT,MAY,2019,,
8,10,SBD,9.176,102,B,17,W,8821,6.7,51.34,3.44,7,THU,AUG,E,8580,6.39,52.34,3.34,14,SAT,FEB,2019,,
8,10,SBD,13.169,824,B,19,W,7120,5.91,57.99,3.43,6,WED,AUG,E,6900,6.53,50.87,3.32,13,FRI,MAY,2019,,
8,10,SBD,31.405,150,B,17,W,7791,6.71,67.54,4.53,7,TUE,AUG,E,7116,6.82,60.72,4.14,16,THU,JUL,2019,,
8,10,RIV,3.048,862,A,19,E,4378,6.95,56.02,3.9,9,SAT,MAR,E,4344,7.04,54.94,3.86,15,SAT,OCT,2019,,
8,10,RIV,8.205,865,B,19,E,6075,8.53,53.5,4.56,12,SUN,MAR,W,5778,8.38,51.81,4.34,13,MON,MAY,2019,,
8,10,RIV,149.15,908,A,17,W,1742,9.73,63.76,6.2,10,SUN,MAR,W,1757,10.7,58.49,6.26,13,SUN,JAN,2019,,
8,10,RIV,156.492,909,O,19,W,1869,11.44,53.37,6.11,11,THU,DEC,E,1884,11.55,53.3,6.15,13,SAT,DEC,2019,,
4,12,NAP,2.3,906,B,19,W,2481,6.89,81.99,5.65,5,WED,JUN,W,1904,7.79,55.71,4.34,13,SAT,JUN,2019,,
4,12,SOL,19.169,315,B,17,W,759,7.85,73.55,5.78,7,THU,JUL,E,850,8.53,75.83,6.47,16,THU,OCT,2019,,
3,12,SAC,0.571,98,A,19,W,1129,7.12,76.96,5.48,6,MON,JUL,E,1152,8.96,62.37,5.59,16,FRI,MAR,2019,,
3,12,SAC,0.571,97,B,19,W,1247,8.24,67.63,5.57,7,THU,APR,W,1243,9.59,57.9,5.55,13,SAT,JUL,2019,,
10,12,SJ,5.39,11,A,19,W,994,6.56,73.63,4.83,6,TUE,JUN,E,1098,8.45,63.18,5.34,16,THU,AUG,2019,,
10,12,CAL,18.2,279,B,18,E,538,11.41,67.25,7.67,8,TUE,OCT,W,468,10.18,65.55,6.67,17,TUE,OCT,2019,,
7,14,LA,26,779,A,19,S,7282,5.4,80.59,4.35,5,TUE,JUL,N,6501,7.15,54.36,3.89,17,SAT,MAR,2019,,
7,14,LA,32.24,403,B,19,S,5356,6.3,81.4,5.13,5,WED,OCT,N,5697,8.25,66.14,5.45,16,WED,FEB,2019,,
7,14,LA,54.2,712,B,17,S,5067,4.94,91.23,4.51,4,TUE,JAN,N,5061,6.74,66.88,4.51,18,FRI,MAR,2019,,
9,14,KER,0,927,A,19,N,1576,6.58,63.4,4.17,6,THU,SEP,S,2059,9.05,60.22,5.45,16,WED,JUL,2019,,
9,14,KER,3.018,601,A,17,N,871,6,69.62,4.17,6,MON,JUN,S,1102,8.57,61.6,5.28,16,MON,SEP,2019,,
9,14,KER,12.147,961,A,17,S,848,6.33,66.46,4.21,6,THU,SEP,N,1128,8.65,64.72,5.6,16,WED,DEC,2019,,
9,14,KER,16.866,912,O,19,N,997,8.11,60.87,4.94,12,SUN,MAR,N,1235,8.75,69.89,6.11,16,MON,SEP,2019,,
9,14,KER,16.07,929,A,17,S,523,7.6,64.17,4.88,12,SUN,SEP,S,752,10.04,69.82,7.01,15,MON,MAR,2019,,
9,14,KER,22.15,298,A,19,S,556,10.59,68.47,7.25,11,FRI,DEC,N,832,13.92,77.98,10.85,14,MON,JAN,2019,,
9,14,KER,57.767,302,A,19,N,513,11.17,76.91,8.59,9,THU,JUL,S,729,14.57,83.79,12.21,17,SUN,JAN,2019,,
9,14,KER,57.767,301,B,19,S,549,12.4,67.03,8.31,12,SUN,JUN,S,711,13.35,80.61,10.76,16,SUN,JAN,2019,,
9,14,KER,64.559,971,B,19,N,476,15.67,74.73,11.71,12,SUN,JUL,N,634,17.54,88.92,15.59,16,SUN,JUL,2019,,
11,15,SD,27.261,301,X,19,S,3502,9.68,89.8,8.69,7,TUE,JUN,N,3285,10.75,75.83,8.15,15,THU,AUG,2019,S,
11,15,SD,30.856,300,O,19,S,3016,10.31,88.03,9.07,7,MON,AUG,N,2435,11.29,64.9,7.33,15,FRI,OCT,2019,S,
11,15,SD,0.405,909,A,19,S,4380,7.17,54.42,3.9,6,TUE,OCT,N,5116,8.39,54.3,4.56,15,WED,AUG,2019,,
11,15,SD,2.226,836,B,19,S,5351,7.9,50.92,4.02,7,TUE,OCT,N,6112,8.66,53.07,4.59,16,THU,OCT,2019,,
11,15,SD,3.367,910,A,19,N,8329,6.71,72.55,4.86,6,THU,FEB,S,8952,7.01,74.6,5.23,14,TUE,DEC,2019,,
11,15,SD,6.132,911,A,19,S,18137,11.62,78.24,9.09,8,SAT,JUN,S,18588,11.3,82.47,9.32,20,THU,OCT,2019,,
11,15,SD,6.132,813,B,19,N,7093,6.35,61.14,3.88,6,THU,APR,S,8680,7.43,63.93,4.75,17,TUE,MAY,2019,,
11,15,SD,9.995,682,X,19,N,6859,6.09,70.67,4.3,5,MON,APR,S,6198,7.45,52.22,3.89,14,TUE,APR,2019,,
11,15,SD,12.124,912,A,19,S,12475,8.04,52.07,4.19,7,THU,SEP,S,12170,7.35,55.54,4.08,14,FRI,SEP,2019,,
11,15,SD,15,999,X,19,S,11621,7.94,56.77,4.51,7,MON,FEB,N,10194,7.29,54.25,3.95,15,MON,MAR,2019,,
11,15,SD,15.924,913,B,19,S,12359,7.83,57.58,4.51,7,FRI,FEB,N,11076,7.25,55.7,4.04,16,THU,MAR,2019,,
11,15,SD,20.574,980,B,19,N,9163,4.5,80.07,3.6,12,FRI,MAY,N,9959,4.74,82.54,3.92,15,MON,FEB,2019,,
11,15,SD,26.026,935,A,19,S,9473,6.93,59.52,4.12,7,TUE,FEB,N,10092,7.16,61.33,4.39,16,TUE,JUL,2019,,
11,15,SD,26.026,934,B,19,S,9279,6.38,67.03,4.27,6,WED,MAR,N,9067,6.87,60.82,4.18,17,MON,MAR,2019,,
11,15,SD,28.765,914,B,19,S,7158,6.01,62.07,3.73,6,FRI,AUG,N,8351,7.35,59.22,4.35,15,TUE,APR,2019,,
11,15,SD,30.627,918,B,19,S,7554,6.16,62.03,3.82,6,THU,MAR,N,8265,7.17,58.23,4.18,15,MON,AUG,2019,,
11,15,SD,31.517,915,A,19,N,9722,11.77,52.63,6.19,12,THU,DEC,N,7317,7.1,65.69,4.66,15,TUE,FEB,2019,,
11,15,SD,36.636,916,A,19,S,12804,10.38,82.72,8.59,5,TUE,AUG,N,6753,7.07,64.08,4.53,16,WED,SEP,2019,,
11,15,SD,54.07,917,B,19,S,6599,5.48,81.83,4.49,5,WED,OCT,N,6320,6.43,66.82,4.3,15,MON,DEC,2019,,
8,15,RIV,8.737,807,A,19,S,5259,6.13,65.05,3.99,8,THU,AUG,N,5230,6.8,58.34,3.97,17,THU,APR,2019,,
8,15,RIV,8.737,901,B,19,S,7896,6.12,63.87,3.91,8,THU,MAR,S,7335,6.97,52.12,3.63,14,SAT,MAY,2019,,
8,15,SBD,5.973,605,A,17,S,7873,6.01,72.28,4.34,7,TUE,JUL,N,7133,6.43,61.16,3.93,16,WED,OCT,2019,,
8,15,SBD,15.65,627,A,19,S,5181,5.66,66.2,3.75,6,THU,APR,N,5377,6.5,59.86,3.89,16,WED,APR,2019,,
8,15,SBD,20.011,809,B,19,S,6897,5.62,67.85,3.81,6,WED,OCT,N,6514,6.28,57.27,3.6,16,WED,NOV,2019,,
8,15,SBD,32.323,900,A,19,N,4644,6.34,59.1,3.74,11,FRI,OCT,N,4648,7.01,53.44,3.75,15,FRI,NOV,2019,,
8,15,SBD,40.509,801,A,18,N,4456,6.21,69.85,4.34,7,SAT,MAY,N,4519,8.15,54,4.4,13,FRI,MAY,2019,,
8,15,SBD,42.025,366,A,19,N,4113,7.73,61.25,4.73,9,SAT,MAY,S,4159,7.63,62.72,4.79,15,SUN,AUG,2019,,
8,15,SBD,70.104,515,B,19,S,3631,8.88,61.07,5.42,12,SUN,MAY,N,3786,9.97,56.7,5.65,13,WED,DEC,2019,,
8,15,SBD,81.834,604,B,17,N,2922,10.49,57.92,6.08,12,FRI,APR,N,2905,11.5,52.53,6.04,13,FRI,DEC,2019,,
8,15,SBD,87.263,811,A,19,S,2777,9.43,65.65,6.19,8,THU,JUL,N,2749,11.64,52.61,6.13,14,SUN,NOV,2019,,
8,15,SBD,138.456,907,A,19,S,2745,7.59,84.28,6.4,7,MON,MAY,S,2783,11.2,57.9,6.49,15,MON,MAY,2019,,
3,16,COL,0,100,A,19,E,51,13.67,72.86,9.96,12,SUN,SEP,E,52,14.26,71.23,10.16,14,SUN,OCT,2019,,
3,16,YOL,25.148,332,O,19,W,393,5.1,72.91,3.71,11,SAT,JAN,W,634,8.97,66.81,5.99,17,SAT,JAN,2019,,
3,16,YOL,32.226,102,A,19,W,318,6.47,58.56,3.79,8,MON,JUN,E,388,8.45,54.73,4.62,16,WED,APR,2019,,
3,16,YOL,40.57,105,A,19,W,380,7.96,54.76,4.36,7,TUE,APR,E,489,8.99,62.45,5.61,15,THU,APR,2019,,
3,16,YOL,43.42,111,B,19,W,290,8.61,60.17,5.18,7,THU,JAN,E,287,8.81,58.22,5.13,15,FRI,FEB,2019,,
3,16,SAC,11.474,118,A,17,W,694,7.69,68.51,5.27,6,WED,FEB,E,737,8.84,63.32,5.6,16,FRI,JUN,2019,,
3,16,SAC,11.474,117,B,17,W,567,8,71.05,5.69,6,THU,MAR,E,547,9.32,58.88,5.49,17,FRI,OCT,2019,,
3,16,SAC,16.805,334,A,17,W,1081,10.14,72.12,7.31,7,TUE,OCT,E,913,8.82,70.07,6.18,17,WED,OCT,2019,,
3,16,SAC,22.848,910,A,17,E,325,8.73,60.63,5.29,11,SAT,JUL,E,369,8.86,67.83,6.01,17,MON,JUL,2019,,
4,17,SCL,7.073,432,A,19,N,3847,7.13,60.32,4.3,7,WED,AUG,S,3596,7.05,56.99,4.02,14,WED,JAN,2019,,
8,18,SBD,17.732,814,B,18,S,958,9.51,63.74,6.06,11,SUN,JUL,N,956,8.29,72.98,6.05,17,FRI,JAN,2019,,
8,18,SBD,31.651,856,B,18,S,365,12.55,51.85,6.51,11,SAT,OCT,S,353,11.14,56.48,6.29,14,SAT,JAN,2019,,
8,18,SBD,34.52,722,A,18,S,1092,20.71,73.83,15.29,12,SUN,FEB,S,1100,19.78,77.9,15.41,14,SUN,JAN,2019,,
8,18,SBD,44.319,815,B,19,N,858,19.37,72.28,14,12,SAT,DEC,N,854,14.9,93.54,13.94,21,FRI,JAN,2019,,
8,18,SBD,115.91,180,B,18,S,345,8.55,60,5.13,10,TUE,DEC,N,555,11.81,69.9,8.26,16,MON,DEC,2019,,
1,20,MEN,2.23,761,A,19,W,263,11.07,66.25,7.33,11,SAT,AUG,E,265,11.9,62.06,7.39,15,SUN,AUG,2019,,
1,20,MEN,33.32,721,A,19,W,902,8.39,74.55,6.25,7,FRI,MAY,E,855,9.16,64.68,5.92,17,MON,AUG,2019,,
1,20,LAK,8.293,172,B,19,W,545,7.6,67.7,5.14,7,THU,AUG,E,632,9.18,64.95,5.97,17,TUE,AUG,2019,,
1,20,LAK,8.319,173,A,19,E,436,11.29,56.48,6.38,11,SUN,AUG,E,520,9.49,80.12,7.6,16,SUN,JUL,2019,,
3,20,COL,3.451,125,A,19,W,378,11.24,59.53,6.69,12,SAT,AUG,E,447,13.82,57.23,7.91,14,SUN,AUG,2019,,
3,20,COL,3.451,124,B,19,W,405,11.34,58.78,6.67,12,SAT,AUG,E,483,13.61,58.4,7.95,14,SUN,AUG,2019,,
3,20,COL,22.12,128,A,19,W,251,7.59,53.52,4.06,11,THU,APR,E,334,8.99,60.18,5.41,15,SUN,APR,2019,,
3,20,COL,36.785,353,B,19,W,377,6.94,64.56,4.48,7,TUE,JAN,E,464,9.13,60.34,5.51,16,THU,APR,2019,,
3,20,COL,39.34,355,O,19,W,398,6.83,68.86,4.7,6,WED,APR,E,501,9.34,63.34,5.92,16,TUE,APR,2019,,
3,20,SUT,0,355,O,19,W,398,6.83,68.86,4.7,6,WED,APR,E,501,9.34,63.34,5.92,16,TUE,APR,2019,,
3,20,SUT,5.009,317,O,19,W,426,6.98,71.6,5,6,WED,APR,E,533,9.98,62.63,6.25,16,FRI,APR,2019,,
3,20,SUT,9.176,130,A,19,W,451,8.22,52.38,4.3,7,THU,OCT,E,574,8.64,63.43,5.48,15,MON,MAR,2019,,
3,20,SUT,13.6,132,B,19,E,484,7.5,57.41,4.3,7,MON,SEP,E,563,8.81,56.81,5.01,15,THU,SEP,2019,,
3,20,SUT,17.057,304,O,19,W,2002,8.03,51.73,4.15,7,TUE,AUG,E,2364,9.31,52.66,4.9,16,TUE,NOV,2019,,
3,20,YUB,0,304,O,19,W,2002,8.03,51.73,4.15,7,TUE,AUG,E,2364,9.31,52.66,4.9,16,TUE,NOV,2019,,
3,20,YUB,1.472,136,B,19,W,1152,7.29,58.36,4.25,7,MON,OCT,E,1179,8.18,53.25,4.35,14,FRI,OCT,2019,,
3,20,YUB,1.472,137,A,19,E,864,8.15,62.79,5.11,7,MON,OCT,W,853,9.33,54.12,5.05,16,WED,JAN,2019,,
3,20,YUB,7.018,140,A,19,W,643,8.45,71.84,6.07,7,WED,DEC,E,653,9.87,62.49,6.16,17,FRI,OCT,2019,,
3,20,NEV,13.614,145,A,19,E,2150,8.57,59.77,5.12,8,THU,OCT,W,2365,9.71,58.02,5.64,16,TUE,OCT,2019,,
3,20,NEV,29.6,319,B,19,E,284,12.85,65.29,8.39,11,SAT,AUG,W,355,16.04,65.38,10.49,15,SUN,JUL,2019,,
3,20,NEV,45.661,150,B,19,E,268,16.83,51.84,8.72,12,SUN,JUL,W,285,16.41,56.55,9.28,13,SUN,AUG,2019,,
7,23,VEN,10.78,51,O,19,S,3891,8.2,64.58,5.29,7,FRI,APR,N,3371,8.57,53.52,4.59,17,WED,OCT,2019,,
4,24,ALA,1.848,130,A,18,W,8494,8.06,63.5,5.12,8,THU,SEP,E,6561,7.02,56.32,3.95,14,WED,JUN,2019,,
4,24,ALA,5.887,418,O,18,W,8059,6.98,61.81,4.31,7,MON,MAR,E,7468,6.8,58.84,4,16,TUE,MAR,2019,,
4,24,CC,4.397,417,B,18,W,7778,7.67,59.19,4.54,7,THU,JUN,E,7194,7.3,57.47,4.2,14,THU,MAR,2019,,
4,24,CC,6.257,543,B,18,W,7988,7.54,59.74,4.51,7,WED,MAR,E,7112,7.48,53.63,4.01,13,FRI,JUN,2019,,
10,26,SJ,20.506,,O,18,W,427,9.52,83.24,7.92,7,WED,AUG,E,436,10.1,80.15,8.09,17,TUE,MAY,2019,,
10,26,CAL,0,,O,18,W,427,9.52,83.24,7.92,7,WED,AUG,E,436,10.1,80.15,8.09,17,TUE,MAY,2019,,
10,26,CAL,10.302,158,B,18,E,947,11.53,90.88,10.48,7,TUE,APR,E,704,9.15,85.13,7.79,14,SAT,APR,2019,,
10,26,CAL,18.069,156,B,18,E,102,9.2,65.81,6.06,9,SAT,APR,W,99,9.74,60.37,5.88,16,FRI,OCT,2019,,
10,26,CAL,18.069,154,A,18,W,167,9.24,76.61,7.08,7,MON,APR,E,145,9.62,63.88,6.15,17,MON,OCT,2019,,
10,26,AMA,4.644,316,B,19,E,151,7.47,86.29,6.45,7,TUE,NOV,W,159,8.88,76.44,6.79,17,TUE,MAR,2019,,
3,28,PLA,0.085,154,A,18,E,741,9.41,54.13,5.09,11,TUE,JUL,E,786,9.88,54.66,5.4,15,MON,JUL,2019,,
3,28,PLA,5.81,160,B,18,E,518,11.28,51.85,5.85,10,FRI,AUG,W,630,12.06,58.99,7.11,17,WED,AUG,2019,,
3,28,PLA,9.34,165,A,19,E,812,9.72,60.33,5.87,12,FRI,DEC,E,926,10.84,61.69,6.69,16,FRI,AUG,2019,,
3,28,PLA,9.34,164,B,19,W,819,10.39,66.16,6.88,11,SAT,AUG,W,835,11.83,59.26,7.01,16,FRI,JUL,2019,,
3,28,PLA,11,166,B,19,E,809,12.04,50.34,6.06,12,SAT,AUG,E,841,11.79,53.47,6.3,16,TUE,AUG,2019,,
4,29,NAP,6.196,9,A,17,S,2002,7.75,53.44,4.14,7,THU,JAN,S,2040,6.68,63.18,4.22,18,SAT,OCT,2019,,
4,29,NAP,9.1,913,B,18,N,2128,7.27,58.25,4.23,12,SAT,MAY,N,2312,7.48,61.51,4.6,17,TUE,OCT,2019,,
4,29,NAP,36.893,10,A,17,N,650,11.04,60.07,6.63,12,FRI,OCT,N,685,12.56,55.65,6.99,15,FRI,OCT,2019,,
1,29,LAK,31.33,126,A,18,S,746,12.93,58.6,7.58,7,TUE,AUG,S,600,9.17,66.45,6.09,17,TUE,FEB,2019,,
1,29,LAK,44.46,772,B,19,S,570,7.91,56.66,4.48,8,TUE,APR,N,661,9.87,52.63,5.19,17,THU,AUG,2019,,
1,29,LAK,52.539,773,B,19,N,395,9.45,59.94,5.66,7,THU,AUG,S,407,10.22,57.08,5.83,15,FRI,AUG,2019,,
3,32,GLE,9.626,173,B,19,E,599,8.97,63.05,5.66,7,MON,FEB,W,650,9.2,66.74,6.14,17,MON,NOV,2019,,
3,32,GLE,9.626,174,A,19,E,825,9.23,64.76,5.98,7,MON,DEC,W,777,9,62.56,5.63,17,TUE,MAR,2019,,
3,32,BUT,11.27,331,A,19,W,837,9.06,76.72,6.95,7,MON,APR,W,685,9.01,63.13,5.69,14,WED,MAY,2019,,
3,32,BUT,11.704,182,A,19,E,708,10.42,71.81,7.48,12,WED,AUG,E,988,13.07,79.87,10.44,16,FRI,SEP,2019,,
2,32,TEH,24.876,223,B,19,W,111,10.26,72.08,7.4,12,SUN,SEP,W,119,10.93,72.56,7.93,17,WED,DEC,2019,,
7,33,VEN,4.046,753,O,17,S,1562,8.4,64.25,5.4,7,TUE,OCT,N,1565,8.62,62.73,5.41,17,WED,OCT,2019,,
7,33,VEN,11.21,84,A,17,N,686,10.62,53.22,5.65,7,MON,AUG,S,749,11.52,53.58,6.17,14,SUN,AUG,2019,,
6,33,KER,11.555,55,B,19,S,314,8.15,91.55,7.46,5,SAT,JUN,N,327,13.09,59.35,7.77,15,FRI,JUL,2019,,
6,33,KER,11.555,56,A,18,S,323,8.98,84.56,7.59,4,THU,JUL,N,264,9.73,63.77,6.2,15,THU,JUL,2019,,
6,33,KER,17.889,183,A,18,S,141,8.62,73.44,6.33,6,THU,APR,N,141,11.22,56.4,6.33,15,TUE,OCT,2019,,
6,33,KER,17.889,182,B,18,S,443,9.6,77.72,7.46,5,TUE,JUL,N,393,10.31,64.22,6.62,15,FRI,OCT,2019,,
6,33,KER,18.79,57,B,18,S,399,8.66,56.04,4.85,11,WED,APR,S,417,9.04,56.12,5.07,15,FRI,APR,2019,,
6,33,KER,23.41,625,A,18,N,327,13.32,83.42,11.11,6,THU,JAN,S,310,13.69,76.92,10.53,15,WED,OCT,2019,,
6,33,KER,60.168,418,B,18,N,184,10.12,85.98,8.7,8,WED,JUL,S,177,15.89,52.68,8.37,16,MON,JAN,2019,,
6,33,KER,60.168,184,A,18,N,369,18.17,87.44,15.89,6,THU,JAN,S,243,14.73,71.05,10.47,17,THU,JUL,2019,,
6,33,KIN,7.8,37,B,17,S,337,22.3,89.39,19.93,5,THU,SEP,N,208,14.78,83.2,12.3,16,FRI,DEC,2019,,
6,33,KIN,7.8,58,A,17,S,503,18.97,91.96,17.45,5,TUE,MAR,N,318,13.39,82.38,11.03,16,WED,JUN,2019,,
6,33,FRE,14.75,59,B,17,S,363,6.06,72.46,4.39,6,THU,MAR,N,493,10.1,59.04,5.96,16,THU,SEP,2019,,
