DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH,YEAR,,
10,49,TUO,6.468,176,B,16,N,65,11.41,67.01,7.65,11,SAT,JUL,S,61,10.71,67.03,7.18,16,FRI,JUL,2018,,
10,49,TUO,20.4,167,A,17,S,285,9.2,64.48,5.93,9,THU,OCT,N,280,9.37,62.22,5.83,16,WED,OCT,2018,,
3,49,ED,24.48,260,B,18,S,369,7.68,73.36,5.63,7,THU,NOV,N,396,9.94,60.83,6.05,17,THU,AUG,2018,,
3,49,ED,28.19,336,O,18,N,178,9.58,54.77,5.25,12,SAT,FEB,S,199,9.56,61.42,5.87,15,FRI,MAY,2018,,
3,49,ED,38.233,207,B,18,N,557,7.95,78.34,6.23,7,MON,AUG,S,581,9.16,70.94,6.5,17,WED,AUG,2018,,
3,49,PLA,2.36,208,B,18,N,536,10.62,53.98,5.73,12,MON,MAY,S,570,9,67.78,6.1,16,TUE,DEC,2018,,
3,49,PLA,3.78,251,A,18,N,1483,8.01,51.3,4.11,7,WED,SEP,S,1675,8.29,55.96,4.64,16,THU,SEP,2018,,
3,49,PLA,3.78,250,B,18,S,1423,7.43,54.67,4.06,12,MON,NOV,S,1635,8.26,56.52,4.67,16,TUE,APR,2018,,
3,49,PLA,6.38,210,B,18,S,1712,7.54,58.01,4.37,11,SAT,OCT,S,1668,8.05,52.9,4.26,14,FRI,OCT,2018,,
3,49,PLA,8.973,200,A,18,S,1560,7.43,65.77,4.89,7,THU,AUG,N,1769,8.98,61.75,5.54,16,TUE,MAY,2018,,
3,49,PLA,11.373,320,O,18,N,1477,8.51,56.96,4.85,12,SUN,DEC,N,1752,8.75,65.69,5.75,13,SUN,DEC,2018,,
3,49,NEV,0,320,O,18,N,1477,8.51,56.96,4.85,12,SUN,DEC,N,1752,8.75,65.69,5.75,13,SUN,DEC,2018,,
3,49,NEV,2.194,322,A,18,S,1056,7.46,60.73,4.53,7,THU,APR,N,1264,9.02,60.08,5.42,17,WED,FEB,2018,,
3,49,NEV,2.194,321,B,18,S,1540,8.19,74.18,6.08,8,TUE,AUG,S,1278,8.45,59.69,5.04,15,THU,APR,2018,,
3,49,NEV,10.71,371,A,18,N,1230,8.19,59.19,4.85,8,WED,SEP,S,1329,9.13,57.33,5.24,17,TUE,AUG,2018,,
3,49,NEV,10.71,370,B,18,N,1155,8.09,57.61,4.66,8,WED,AUG,S,1287,9.47,54.79,5.19,16,WED,DEC,2018,,
